 Incident-Energy Interpolation:
          18          2                                            

 Energy: 1.748830+6
 Cosine Interpolation:
          21          2                                            

 Cosine:-1.000000+0
 Secondary-Energy Interpolation:
          15          2                                            
 Energy Distribution:
          eV       prob         eV       prob         eV       prob
  ---------- ---------- ---------- ---------- ---------- ----------
  1.092990+3 0.000000+0 1.093000+3 7.406740-7 3.278900+3 1.166140-6
  7.650800+3 1.466540-6 1.202300+4 1.585880-6 2.076600+4 1.610940-6
  2.951000+4 1.546240-6 5.574100+4 1.071950-6 7.104300+4 7.097100-7
  8.197300+4 4.021720-7 9.071600+4 1.795810-7 9.508800+4 9.526480-8
  9.946000+4 2.867760-8 1.016500+5 4.692750-9 1.016510+5 0.000000+0

 Cosine:-9.000000-1
 Secondary-Energy Interpolation:
          17          2                                            
 Energy Distribution:
          eV       prob         eV       prob         eV       prob
  ---------- ---------- ---------- ---------- ---------- ----------
  1.092990+3 0.000000+0 1.093000+3 7.386460-7 3.278900+3 1.153110-6
  5.464800+3 1.394860-6 7.650800+3 1.488360-6 1.530200+4 1.637580-6
  1.967300+4 1.663340-6 4.044000+4 1.437820-6 6.229900+4 1.005920-6
  7.760100+4 6.507880-7 8.853000+4 3.632480-7 9.727400+4 1.544510-7
  1.016500+5 7.138010-8 1.038300+5 4.291920-8 1.060200+5 1.719280-8
  1.082000+5 2.302540-9 1.082010+5 0.000000+0                      

 Cosine:-8.000000-1
 Secondary-Energy Interpolation:
          19          2                                            
 Energy Distribution:
          eV       prob         eV       prob         eV       prob
  ---------- ---------- ---------- ---------- ---------- ----------
  1.092990+3 0.000000+0 1.093000+3 7.863860-7 3.278900+3 1.177970-6
  7.650800+3 1.518920-6 1.420900+4 1.714240-6 1.858000+4 1.762150-6
  3.606800+4 1.600330-6 5.355500+4 1.356720-6 6.667100+4 1.086010-6
  7.541500+4 8.459960-7 8.634400+4 5.947450-7 1.016500+5 2.039860-7
  1.038300+5 1.566340-7 1.082000+5 7.877550-8 1.103900+5 4.781900-8
  1.125800+5 2.625930-8 1.147600+5 7.678190-9 1.169500+5 4.60686-10
  1.169510+5 0.000000+0                                            

 Cosine:-7.000000-1
 Secondary-Energy Interpolation:
          19          2                                            
 Energy Distribution:
          eV       prob         eV       prob         eV       prob
  ---------- ---------- ---------- ---------- ---------- ----------
  1.092990+3 0.000000+0 1.093000+3 7.690120-7 3.278900+3 1.242920-6
  5.464800+3 1.498080-6 1.420900+4 1.774480-6 2.295200+4 1.825150-6
  2.732400+4 1.818940-6 2.951000+4 1.825280-6 4.481200+4 1.641230-6
  6.011300+4 1.361530-6 8.197300+4 8.764780-7 1.082000+5 2.106220-7
  1.125800+5 1.253960-7 1.147600+5 8.825610-8 1.169500+5 5.920460-8
  1.191300+5 3.649730-8 1.213200+5 1.547490-8 1.235100+5 1.838630-9
  1.235110+5 0.000000+0                                            

 Cosine:-6.000000-1
 Secondary-Energy Interpolation:
          22          2                                            
 Energy Distribution:
          eV       prob         eV       prob         eV       prob
  ---------- ---------- ---------- ---------- ---------- ----------
  1.092990+3 0.000000+0 1.093000+3 8.116620-7 3.278900+3 1.267280-6
  5.464800+3 1.544880-6 7.650800+3 1.677920-6 1.639500+4 1.896690-6
  2.076600+4 1.919960-6 2.295200+4 1.906460-6 2.513800+4 1.911570-6
  2.732400+4 1.909870-6 2.951000+4 1.918870-6 3.825400+4 1.862390-6
  6.011300+4 1.507250-6 8.853000+4 9.204910-7 1.125800+5 3.033860-7
  1.191300+5 1.539810-7 1.213200+5 1.116770-7 1.235100+5 7.671610-8
  1.256900+5 4.881830-8 1.278800+5 2.416480-8 1.300600+5 6.423500-9
  1.300610+5 0.000000+0                                            

 Cosine:-5.000000-1
 Secondary-Energy Interpolation:
          18          2                                            
 Energy Distribution:
          eV       prob         eV       prob         eV       prob
  ---------- ---------- ---------- ---------- ---------- ----------
  1.092990+3 0.000000+0 1.093000+3 8.210370-7 3.278900+3 1.340390-6
  5.464800+3 1.606740-6 7.650800+3 1.789010-6 1.202300+4 1.916990-6
  2.513800+4 2.096320-6 4.262600+4 1.954710-6 7.322900+4 1.441150-6
  9.727400+4 9.052650-7 1.256900+5 1.913980-7 1.300600+5 1.082800-7
  1.322500+5 7.089990-8 1.344300+5 4.445080-8 1.366200+5 2.507200-8
  1.388100+5 7.653290-9 1.409900+5 9.18399-10 1.409910+5 0.000000+0

 Cosine:-4.000000-1
 Secondary-Energy Interpolation:
          21          2                                            
 Energy Distribution:
          eV       prob         eV       prob         eV       prob
  ---------- ---------- ---------- ---------- ---------- ----------
  1.092990+3 0.000000+0 1.093000+3 8.182390-7 3.278900+3 1.420540-6
  7.650800+3 1.783490-6 1.420900+4 2.064600-6 2.513800+4 2.178490-6
  2.732400+4 2.177470-6 3.169600+4 2.200420-6 5.136900+4 2.016720-6
  7.322900+4 1.641630-6 1.016500+5 1.014880-6 1.125800+5 7.281050-7
  1.213200+5 5.404770-7 1.322500+5 2.501200-7 1.344300+5 2.024180-7
  1.388100+5 1.192670-7 1.409900+5 8.315570-8 1.431800+5 5.127110-8
  1.475500+5 1.026090-8 1.497400+5 1.378270-9 1.497410+5 0.000000+0

 Cosine:-3.000000-1
 Secondary-Energy Interpolation:
          20          2                                            
 Energy Distribution:
          eV       prob         eV       prob         eV       prob
  ---------- ---------- ---------- ---------- ---------- ----------
  1.092990+3 0.000000+0 1.093000+3 8.520810-7 3.278900+3 1.433840-6
  7.650800+3 1.913620-6 1.420900+4 2.222250-6 2.295200+4 2.358200-6
  3.606800+4 2.310220-6 3.825400+4 2.314120-6 6.667100+4 1.948410-6
  1.082000+5 1.103050-6 1.191300+5 8.086200-7 1.409900+5 2.650020-7
  1.453600+5 1.749390-7 1.475500+5 1.329570-7 1.497400+5 9.863250-8
  1.541100+5 4.484280-8 1.562900+5 2.648180-8 1.606700+5 2.460590-9
  1.628500+5 4.61330-10 1.628510+5 0.000000+0                      

 Cosine:-2.000000-1
 Secondary-Energy Interpolation:
          20          2                                            
 Energy Distribution:
          eV       prob         eV       prob         eV       prob
  ---------- ---------- ---------- ---------- ---------- ----------
  1.092990+3 0.000000+0 1.093000+3 8.520250-7 3.278900+3 1.470310-6
  5.464800+3 1.805800-6 9.836703+3 2.139900-6 1.748700+4 2.377680-6
  2.841700+4 2.540960-6 4.153300+4 2.485480-6 7.541500+4 2.012140-6
  1.060200+5 1.376800-6 1.300600+5 8.098460-7 1.519200+5 2.514390-7
  1.584800+5 1.250310-7 1.606700+5 8.992360-8 1.628500+5 6.132310-8
  1.650400+5 3.849930-8 1.672200+5 2.264100-8 1.694100+5 8.555460-9
  1.716000+5 4.58326-10 1.716010+5 0.000000+0                      

 Cosine:-1.000000-1
 Secondary-Energy Interpolation:
          20          2                                            
 Energy Distribution:
          eV       prob         eV       prob         eV       prob
  ---------- ---------- ---------- ---------- ---------- ----------
  1.092990+3 0.000000+0 1.093000+3 9.105540-7 3.278900+3 1.550310-6
  5.464800+3 1.919230-6 7.650800+3 2.160120-6 1.858000+4 2.609710-6
  2.732400+4 2.712200-6 2.951000+4 2.709310-6 3.169600+4 2.713980-6
  5.136900+4 2.603450-6 7.322900+4 2.274260-6 1.169500+5 1.409620-6
  1.541100+5 4.740020-7 1.650400+5 2.179850-7 1.716000+5 1.063260-7
  1.737800+5 7.573350-8 1.781500+5 2.671320-8 1.803400+5 1.059320-8
  1.825300+5 2.763480-9 1.825310+5 0.000000+0                      

 Cosine: 0.000000+0
 Secondary-Energy Interpolation:
          23          2                                            
 Energy Distribution:
          eV       prob         eV       prob         eV       prob
  ---------- ---------- ---------- ---------- ---------- ----------
  1.092990+3 0.000000+0 1.093000+3 9.328610-7 3.278900+3 1.607290-6
  5.464800+3 1.996150-6 9.836703+3 2.353760-6 1.639500+4 2.647030-6
  2.732400+4 2.873290-6 3.169600+4 2.867140-6 3.388200+4 2.867850-6
  3.825400+4 2.860690-6 4.262600+4 2.873190-6 7.322900+4 2.489090-6
  9.727400+4 2.039600-6 1.322500+5 1.300400-6 1.737800+5 2.696940-7
  1.781500+5 1.811150-7 1.825300+5 1.080090-7 1.847100+5 7.886410-8
  1.869000+5 5.461590-8 1.890800+5 2.730050-8 1.912700+5 1.225650-8
  1.934600+5 5.03682-10 1.934610+5 0.000000+0                      

 Cosine: 1.000000-1
 Secondary-Energy Interpolation:
          22          2                                            
 Energy Distribution:
          eV       prob         eV       prob         eV       prob
  ---------- ---------- ---------- ---------- ---------- ----------
  1.092990+3 0.000000+0 1.093000+3 9.357460-7 3.278900+3 1.672150-6
  5.464800+3 2.090500-6 9.836703+3 2.604220-6 1.967300+4 2.970100-6
  3.060300+4 3.182850-6 3.934700+4 3.130260-6 4.153300+4 3.136080-6
  8.197300+4 2.635820-6 1.191300+5 1.898630-6 1.519200+5 1.137080-6
  1.759700+5 5.166550-7 1.890800+5 2.095470-7 1.934600+5 1.308620-7
  1.956400+5 9.695310-8 1.978300+5 6.854160-8 2.000100+5 4.576090-8
  2.043800+5 1.228110-8 2.065700+5 4.276970-9 2.087600+5 4.58236-10
  2.087610+5 0.000000+0                                            

 Cosine: 2.000000-1
 Secondary-Energy Interpolation:
          20          2                                            
 Energy Distribution:
          eV       prob         eV       prob         eV       prob
  ---------- ---------- ---------- ---------- ---------- ----------
  1.092990+3 0.000000+0 1.093000+3 9.868201-7 3.278900+3 1.762230-6
  5.464800+3 2.216280-6 9.836703+3 2.759560-6 2.185900+4 3.276220-6
  3.716100+4 3.453900-6 6.885700+4 3.147350-6 1.038300+5 2.557250-6
  1.606700+5 1.242540-6 1.912700+5 4.688490-7 2.000100+5 2.654770-7
  2.043800+5 1.784460-7 2.087600+5 1.063870-7 2.109400+5 7.643970-8
  2.131300+5 5.427380-8 2.175000+5 1.748470-8 2.196900+5 7.018310-9
  2.218700+5 1.373120-9 2.218710+5 0.000000+0                      

 Cosine: 3.000000-1
 Secondary-Energy Interpolation:
          24          2                                            
 Energy Distribution:
          eV       prob         eV       prob         eV       prob
  ---------- ---------- ---------- ---------- ---------- ----------
